date,Health Care,LGBT Issues,Foreign Policy/National Security,Justice,Education,Drugs,Immigration,Terrorism,Guns,Environment/Energy,Economy,Veterans,Budget/Taxation,Racial Issues,Surveillance/Privacy,Ethics,Abortion,Financial Regulation,Income Inequality,Trade,Campaign Finance,Jobs/Employment
2016-08-18,0.049,0.022,0.269,0.022,0.005,0.003,0.096,0.066,0.043,0.020,0.049,0.009,0.074,0.106,0.006,0.051,0.010,0.006,0.011,0.016,0.025,0.043
2016-08-19,0.039,0.020,0.265,0.021,0.006,0.003,0.114,0.045,0.037,0.026,0.034,0.010,0.054,0.128,0.006,0.072,0.009,0.006,0.012,0.012,0.023,0.061
2016-08-20,0.027,0.016,0.186,0.013,0.005,0.002,0.091,0.038,0.031,0.020,0.081,0.017,0.044,0.199,0.004,0.070,0.007,0.008,0.018,0.011,0.038,0.072
2016-08-21,0.029,0.018,0.180,0.021,0.007,0.003,0.182,0.048,0.028,0.018,0.064,0.014,0.052,0.149,0.004,0.038,0.008,0.006,0.011,0.010,0.055,0.057
2016-08-22,0.036,0.022,0.182,0.012,0.007,0.002,0.189,0.045,0.024,0.017,0.051,0.008,0.048,0.112,0.004,0.131,0.007,0.005,0.008,0.013,0.034,0.043
2016-08-23,0.040,0.021,0.189,0.013,0.005,0.001,0.179,0.036,0.025,0.022,0.050,0.011,0.055,0.107,0.004,0.117,0.007,0.005,0.013,0.008,0.051,0.041
2016-08-24,0.029,0.022,0.174,0.014,0.004,0.001,0.253,0.025,0.031,0.016,0.037,0.007,0.060,0.105,0.003,0.083,0.010,0.004,0.009,0.008,0.060,0.044
2016-08-25,0.020,0.017,0.134,0.014,0.004,0.002,0.279,0.028,0.024,0.016,0.025,0.007,0.045,0.231,0.003,0.049,0.007,0.004,0.010,0.009,0.027,0.046
2016-08-26,0.020,0.014,0.150,0.012,0.003,0.002,0.247,0.025,0.025,0.012,0.024,0.007,0.028,0.284,0.003,0.055,0.010,0.004,0.012,0.010,0.018,0.034
2016-08-27,0.032,0.018,0.171,0.016,0.006,0.006,0.171,0.031,0.065,0.014,0.034,0.008,0.034,0.249,0.007,0.045,0.009,0.004,0.010,0.014,0.016,0.042
2016-08-28,0.022,0.018,0.149,0.020,0.005,0.003,0.286,0.029,0.054,0.012,0.033,0.008,0.053,0.184,0.006,0.036,0.008,0.005,0.009,0.010,0.014,0.037
2016-08-29,0.036,0.025,0.152,0.013,0.004,0.003,0.261,0.031,0.036,0.021,0.043,0.008,0.079,0.154,0.006,0.038,0.009,0.005,0.009,0.011,0.018,0.038
2016-08-30,0.050,0.023,0.195,0.017,0.004,0.003,0.201,0.038,0.037,0.018,0.037,0.012,0.045,0.139,0.005,0.066,0.010,0.004,0.009,0.011,0.029,0.047
2016-08-31,0.022,0.013,0.199,0.020,0.005,0.002,0.335,0.027,0.024,0.017,0.027,0.018,0.027,0.109,0.004,0.047,0.008,0.003,0.016,0.012,0.018,0.047
2016-09-01,0.014,0.011,0.146,0.011,0.003,0.001,0.533,0.018,0.019,0.015,0.019,0.011,0.024,0.078,0.003,0.031,0.004,0.002,0.005,0.005,0.013,0.033
2016-09-02,0.020,0.017,0.202,0.011,0.004,0.002,0.282,0.021,0.030,0.017,0.029,0.010,0.042,0.091,0.003,0.113,0.007,0.004,0.005,0.008,0.028,0.054
2016-09-03,0.023,0.021,0.174,0.014,0.005,0.002,0.178,0.025,0.028,0.022,0.026,0.007,0.054,0.178,0.004,0.126,0.007,0.004,0.009,0.009,0.022,0.063
2016-09-04,0.021,0.018,0.184,0.017,0.005,0.002,0.196,0.027,0.026,0.020,0.029,0.007,0.068,0.164,0.004,0.104,0.009,0.004,0.010,0.009,0.019,0.056
2016-09-05,0.021,0.018,0.192,0.014,0.005,0.002,0.166,0.026,0.025,0.020,0.033,0.006,0.050,0.135,0.004,0.086,0.009,0.004,0.010,0.013,0.016,0.144
2016-09-06,0.025,0.014,0.304,0.019,0.008,0.002,0.127,0.037,0.026,0.021,0.039,0.026,0.066,0.075,0.005,0.067,0.014,0.008,0.008,0.008,0.026,0.074
2016-09-07,0.019,0.013,0.354,0.017,0.005,0.002,0.099,0.075,0.021,0.017,0.039,0.028,0.061,0.058,0.003,0.062,0.022,0.028,0.007,0.005,0.030,0.035
2016-09-08,0.014,0.009,0.558,0.011,0.005,0.001,0.052,0.079,0.015,0.012,0.021,0.046,0.022,0.031,0.003,0.061,0.008,0.010,0.003,0.003,0.010,0.025
